ID,recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,DM_category,Label,Score
61757,1,"7) $1,000 +",1065.52,1,0,Urban,1,Multichannel,No E-Mail,6,1,0.9997
61758,4,1) $0 - $100,34.86,1,0,Urban,0,Web,Womens E-Mail,4,0,0.0231
61759,1,"7) $1,000 +",1367.81,0,1,Surburban,1,Web,Womens E-Mail,1,1,1
61760,2,"6) $750 - $1,000",862.86,1,1,Surburban,1,Multichannel,No E-Mail,11,1,0.9998
61761,7,1) $0 - $100,86.38,0,1,Rural,0,Web,Mens E-Mail,3,0,0.2675
61762,8,3) $200 - $350,200.34,1,0,Surburban,0,Phone,Mens E-Mail,2,0,0.0685
61763,7,3) $200 - $350,270.04,1,1,Surburban,0,Phone,Mens E-Mail,5,0,0.118
61764,4,1) $0 - $100,43.09,1,0,Urban,0,Phone,Mens E-Mail,2,0,0.1173
61765,10,1) $0 - $100,79.01,0,1,Urban,1,Phone,No E-Mail,5,0,0.0046
61766,10,1) $0 - $100,44.37,0,1,Surburban,0,Web,No E-Mail,5,0,0.0115
61767,3,2) $100 - $200,117.57,0,1,Rural,0,Phone,No E-Mail,5,0,0.178
61768,3,1) $0 - $100,29.99,1,0,Rural,0,Phone,Mens E-Mail,2,0,0.4694
61769,1,2) $100 - $200,169.18,1,0,Urban,1,Web,Womens E-Mail,4,0,0.0448
61770,11,2) $100 - $200,111.5,1,0,Surburban,1,Web,No E-Mail,6,0,0.0004
61771,4,1) $0 - $100,34.18,1,0,Urban,1,Phone,Mens E-Mail,2,0,0.08
61772,1,"7) $1,000 +",1147.55,1,0,Surburban,1,Web,Mens E-Mail,2,1,1
61773,2,3) $200 - $350,337.18,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.0867
61774,6,3) $200 - $350,252.05,1,0,Rural,0,Phone,Womens E-Mail,4,0,0.0672
61775,9,3) $200 - $350,327.29,0,1,Surburban,1,Multichannel,Mens E-Mail,3,0,0.1393
61776,1,"7) $1,000 +",1407.9,0,1,Urban,1,Web,Mens E-Mail,3,1,1
61777,10,4) $350 - $500,353.56,1,0,Urban,1,Web,Mens E-Mail,2,0,0.1848
61778,12,1) $0 - $100,81.69,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.0083
61779,11,1) $0 - $100,45.99,0,1,Surburban,1,Web,Mens E-Mail,3,0,0.0154
61780,11,1) $0 - $100,95.85,0,1,Urban,1,Web,Mens E-Mail,3,0,0.0153
61781,8,1) $0 - $100,70.84,0,1,Surburban,0,Web,No E-Mail,5,0,0.0133
61782,1,1) $0 - $100,79.13,1,0,Surburban,1,Web,Womens E-Mail,4,0,0.0463
61783,1,2) $100 - $200,195.51,0,1,Urban,1,Phone,Womens E-Mail,1,0,0.1895
61784,9,1) $0 - $100,45.85,1,0,Surburban,1,Web,Womens E-Mail,4,0,0.0034
61785,10,3) $200 - $350,332.98,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.0792
61786,7,"6) $750 - $1,000",833.66,1,0,Surburban,1,Phone,Womens E-Mail,4,1,0.7659
61787,7,3) $200 - $350,288.25,1,0,Surburban,0,Web,Womens E-Mail,4,0,0.026
61788,1,1) $0 - $100,87.41,1,0,Urban,0,Web,No E-Mail,6,0,0.0189
61789,1,2) $100 - $200,100.71,1,0,Surburban,0,Phone,Mens E-Mail,2,0,0.2855
61790,9,3) $200 - $350,273.69,1,1,Urban,1,Phone,Womens E-Mail,5,0,0.0256
61791,1,2) $100 - $200,125.81,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.3313
61792,4,1) $0 - $100,57,1,0,Urban,1,Web,No E-Mail,6,0,0.004
61793,1,1) $0 - $100,60.03,0,1,Urban,1,Web,No E-Mail,5,0,0.1
61794,7,1) $0 - $100,73.27,0,1,Surburban,1,Phone,No E-Mail,5,0,0.0104
61795,7,3) $200 - $350,331.06,1,0,Urban,0,Phone,No E-Mail,6,0,0.0044
61796,10,3) $200 - $350,259.53,1,0,Rural,0,Web,Womens E-Mail,4,0,0.0327
61797,5,2) $100 - $200,173.24,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.0531
61798,1,2) $100 - $200,153.99,0,1,Surburban,0,Web,No E-Mail,5,0,0.1433
61799,9,2) $100 - $200,123.83,0,1,Urban,0,Web,No E-Mail,5,0,0.0112
61800,2,1) $0 - $100,29.99,0,1,Urban,0,Phone,No E-Mail,5,0,0.0806
61801,7,3) $200 - $350,314.26,1,0,Rural,0,Phone,Mens E-Mail,2,0,0.3063
61802,4,2) $100 - $200,140.87,0,1,Rural,0,Phone,No E-Mail,5,0,0.0872
61803,2,5) $500 - $750,545.16,1,1,Urban,1,Web,Womens E-Mail,5,1,0.5353
61804,10,3) $200 - $350,313.54,1,0,Urban,1,Web,Mens E-Mail,2,0,0.0672
61805,1,3) $200 - $350,247.28,1,1,Urban,0,Phone,Mens E-Mail,5,0,0.4627
61806,5,2) $100 - $200,124.21,1,0,Surburban,1,Phone,Mens E-Mail,2,0,0.0591
61807,10,1) $0 - $100,51.92,0,1,Surburban,0,Phone,Womens E-Mail,1,0,0.0242
61808,2,5) $500 - $750,505.17,1,0,Surburban,1,Web,Mens E-Mail,2,1,0.6468
61809,3,3) $200 - $350,288.51,0,1,Surburban,0,Web,No E-Mail,5,0,0.2317
61810,3,2) $100 - $200,115.98,1,0,Urban,1,Web,Womens E-Mail,4,0,0.0329
61811,5,2) $100 - $200,184.11,1,0,Rural,0,Phone,Womens E-Mail,4,0,0.0301
61812,1,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Womens E-Mail,1,0,0.2676
61813,2,3) $200 - $350,335.48,0,1,Surburban,0,Web,No E-Mail,5,0,0.2633
61814,4,4) $350 - $500,429.12,1,1,Urban,1,Multichannel,No E-Mail,11,1,0.9447
61815,5,1) $0 - $100,64.46,0,1,Surburban,1,Phone,No E-Mail,5,0,0.0163
61816,1,2) $100 - $200,161.17,1,0,Urban,1,Web,Mens E-Mail,2,0,0.2992
61817,4,1) $0 - $100,43.62,1,0,Urban,1,Web,No E-Mail,6,0,0.004
61818,2,2) $100 - $200,140.74,1,0,Urban,1,Web,Womens E-Mail,4,0,0.0375
61819,3,3) $200 - $350,317.52,0,1,Surburban,0,Phone,No E-Mail,5,0,0.1596
61820,6,1) $0 - $100,32,1,0,Urban,1,Web,Mens E-Mail,2,0,0.0936
61821,10,1) $0 - $100,30.86,1,0,Urban,1,Phone,No E-Mail,6,0,0.0005
61822,8,1) $0 - $100,35.64,1,0,Rural,0,Phone,No E-Mail,6,0,0.0027
61823,7,2) $100 - $200,173.35,1,0,Urban,0,Phone,Mens E-Mail,2,0,0.0575
61824,1,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Womens E-Mail,1,0,0.1929
61825,3,3) $200 - $350,346.88,1,1,Urban,0,Phone,Mens E-Mail,5,0,0.4073
61826,2,1) $0 - $100,74.04,0,1,Urban,0,Phone,No E-Mail,5,0,0.0806
61827,6,2) $100 - $200,123.41,0,1,Surburban,1,Web,Mens E-Mail,3,0,0.1106
61828,10,5) $500 - $750,565.41,0,1,Urban,1,Web,Mens E-Mail,3,0,0.1654
61829,4,2) $100 - $200,150.28,1,0,Surburban,0,Phone,Mens E-Mail,2,0,0.1157
61830,4,1) $0 - $100,29.99,1,0,Urban,1,Phone,Womens E-Mail,4,0,0.0094
61831,1,5) $500 - $750,738.5,1,0,Surburban,1,Web,Mens E-Mail,2,1,0.77
61832,1,2) $100 - $200,144.58,0,1,Urban,1,Phone,Mens E-Mail,3,0,0.2435
61833,2,1) $0 - $100,88.38,0,1,Urban,0,Web,No E-Mail,5,0,0.125
61834,2,5) $500 - $750,529.64,1,0,Surburban,1,Web,No E-Mail,6,0,0.0517
61835,4,2) $100 - $200,104.49,0,1,Surburban,1,Phone,No E-Mail,5,0,0.021
61836,2,3) $200 - $350,233.86,1,0,Urban,1,Web,Womens E-Mail,4,0,0.0844
61837,3,2) $100 - $200,109.52,0,1,Surburban,0,Web,Mens E-Mail,3,0,0.3718
61838,1,3) $200 - $350,327.78,1,1,Surburban,0,Web,Womens E-Mail,5,0,0.4993
61839,2,2) $100 - $200,152.42,0,1,Rural,0,Web,No E-Mail,5,0,0.2882
61840,10,2) $100 - $200,193.05,1,0,Surburban,1,Phone,No E-Mail,6,0,0.0005
61841,11,1) $0 - $100,86.97,0,1,Rural,0,Phone,Womens E-Mail,1,0,0.0295
61842,9,1) $0 - $100,54.51,0,1,Surburban,0,Web,No E-Mail,5,0,0.0118
61843,10,2) $100 - $200,149.33,0,1,Rural,0,Phone,Womens E-Mail,1,0,0.065
61844,6,1) $0 - $100,29.99,1,0,Urban,1,Phone,Womens E-Mail,4,0,0.0069
61845,4,3) $200 - $350,226.59,0,1,Urban,0,Multichannel,No E-Mail,5,0,0.1789
61846,4,4) $350 - $500,458.78,0,1,Surburban,0,Web,No E-Mail,5,0,0.3239
61847,9,3) $200 - $350,333.52,0,1,Urban,0,Phone,No E-Mail,5,0,0.0176
61848,3,2) $100 - $200,126.35,0,1,Rural,0,Web,Mens E-Mail,3,1,0.6316
61849,10,2) $100 - $200,148.45,1,0,Urban,1,Phone,No E-Mail,6,0,0.0005
61850,10,3) $200 - $350,261.12,0,1,Urban,1,Multichannel,Mens E-Mail,3,0,0.1292
61851,3,3) $200 - $350,253.14,1,1,Surburban,0,Multichannel,No E-Mail,11,1,0.944
61852,9,1) $0 - $100,30.72,1,0,Surburban,1,Phone,Womens E-Mail,4,0,0.0021
61853,12,1) $0 - $100,79.34,1,0,Urban,1,Phone,Womens E-Mail,4,0,0.001
61854,7,5) $500 - $750,591.88,0,1,Urban,1,Multichannel,Mens E-Mail,3,0,0.4453
61855,3,5) $500 - $750,521.24,0,1,Urban,1,Web,Mens E-Mail,3,1,0.6675
61856,9,5) $500 - $750,720.44,0,1,Surburban,1,Web,Mens E-Mail,3,0,0.216
61857,10,2) $100 - $200,139.67,1,0,Surburban,1,Phone,Womens E-Mail,4,0,0.002
61858,9,1) $0 - $100,50.25,0,1,Surburban,1,Phone,Mens E-Mail,3,0,0.0227
61859,5,1) $0 - $100,29.99,1,0,Urban,1,Web,Mens E-Mail,2,0,0.0948
61860,8,2) $100 - $200,151.61,0,1,Urban,0,Phone,No E-Mail,5,0,0.0079
61861,1,1) $0 - $100,60.83,1,0,Urban,0,Web,Mens E-Mail,2,0,0.4008
61862,8,4) $350 - $500,374.05,1,1,Rural,0,Phone,Womens E-Mail,5,0,0.3056
61863,6,1) $0 - $100,63.99,1,0,Surburban,0,Phone,Mens E-Mail,2,0,0.0894
61864,8,3) $200 - $350,207.84,0,1,Rural,1,Phone,No E-Mail,5,0,0.0342
61865,8,2) $100 - $200,111.37,0,1,Surburban,1,Phone,Mens E-Mail,3,0,0.0247
61866,11,3) $200 - $350,207.3,1,0,Surburban,0,Web,No E-Mail,6,0,0.0013
61867,8,1) $0 - $100,29.99,1,0,Rural,1,Phone,No E-Mail,6,0,0.0018
61868,1,1) $0 - $100,76,1,0,Rural,0,Web,Womens E-Mail,4,0,0.1763
61869,3,1) $0 - $100,37.38,1,0,Surburban,0,Web,Mens E-Mail,2,0,0.3328
61870,9,3) $200 - $350,216.12,0,1,Surburban,0,Web,Mens E-Mail,3,0,0.1162
61871,8,1) $0 - $100,42.78,0,1,Rural,1,Web,Womens E-Mail,1,0,0.0809
61872,10,3) $200 - $350,216.73,1,0,Urban,1,Web,Mens E-Mail,2,0,0.0631
61873,2,3) $200 - $350,294.11,0,1,Surburban,0,Phone,Mens E-Mail,3,1,0.5074
61874,9,1) $0 - $100,77.18,1,0,Surburban,0,Phone,No E-Mail,6,0,0.0008
61875,10,4) $350 - $500,400.73,1,1,Surburban,0,Web,No E-Mail,11,1,0.7554
61876,1,3) $200 - $350,313.44,0,1,Urban,0,Multichannel,No E-Mail,5,0,0.4176
61877,9,1) $0 - $100,32.93,0,1,Rural,1,Phone,Mens E-Mail,3,0,0.0629
61878,2,5) $500 - $750,728.66,1,1,Surburban,1,Web,No E-Mail,11,1,0.9584
61879,1,2) $100 - $200,176.6,0,1,Urban,0,Web,Mens E-Mail,3,0,0.4475
61880,3,2) $100 - $200,113.77,1,0,Surburban,0,Phone,Mens E-Mail,2,0,0.2279
61881,10,1) $0 - $100,93.26,1,0,Surburban,0,Phone,Mens E-Mail,2,0,0.0275
61882,7,3) $200 - $350,263.79,1,0,Surburban,1,Multichannel,Womens E-Mail,4,0,0.0289
61883,5,2) $100 - $200,151.85,0,1,Urban,0,Web,No E-Mail,5,0,0.038
61884,3,1) $0 - $100,68.14,0,1,Urban,0,Phone,Womens E-Mail,1,0,0.2103
61885,12,1) $0 - $100,78.03,1,0,Surburban,0,Web,No E-Mail,6,0,0.0007
61886,12,2) $100 - $200,173.5,1,0,Urban,1,Phone,Womens E-Mail,4,0,0.001
61887,3,5) $500 - $750,553.91,1,0,Surburban,1,Phone,Mens E-Mail,2,1,0.5159
61888,11,4) $350 - $500,437.21,0,1,Urban,1,Web,Womens E-Mail,1,0,0.0847
61889,2,5) $500 - $750,505.73,0,1,Urban,1,Phone,Womens E-Mail,1,0,0.4944
61890,1,4) $350 - $500,391.58,0,1,Urban,1,Web,Womens E-Mail,1,1,0.7533
61891,12,"6) $750 - $1,000",947,1,1,Urban,1,Web,Mens E-Mail,5,1,0.9316
61892,2,4) $350 - $500,483.92,1,1,Surburban,0,Web,No E-Mail,11,1,0.977
61893,5,2) $100 - $200,103.65,1,0,Surburban,1,Phone,No E-Mail,6,0,0.0018
61894,1,5) $500 - $750,702.94,0,1,Urban,1,Phone,Mens E-Mail,3,1,0.6991
61895,5,2) $100 - $200,196.94,0,1,Urban,1,Web,No E-Mail,5,0,0.0257
61896,10,5) $500 - $750,638.24,1,1,Surburban,1,Multichannel,No E-Mail,11,1,0.7291
61897,3,3) $200 - $350,338.44,1,1,Surburban,1,Phone,Mens E-Mail,5,0,0.3109
61898,1,2) $100 - $200,167.55,0,1,Surburban,1,Web,Womens E-Mail,1,0,0.2755
61899,2,"6) $750 - $1,000",937.62,0,1,Surburban,1,Phone,No E-Mail,5,1,0.9823
61900,6,2) $100 - $200,140.17,1,0,Urban,0,Phone,No E-Mail,6,0,0.0027
61901,4,5) $500 - $750,553.47,0,1,Urban,1,Web,Mens E-Mail,3,0,0.4809
61902,9,1) $0 - $100,32.71,0,1,Surburban,0,Web,Womens E-Mail,1,0,0.0396
61903,1,"6) $750 - $1,000",947.34,1,0,Urban,1,Phone,Mens E-Mail,2,1,0.9962
61904,11,1) $0 - $100,29.99,0,1,Urban,1,Phone,Mens E-Mail,3,0,0.0094
61905,3,3) $200 - $350,293.33,1,0,Urban,1,Multichannel,No E-Mail,6,0,0.037
61906,2,5) $500 - $750,520.15,0,1,Urban,1,Web,Mens E-Mail,3,1,0.6954
61907,6,1) $0 - $100,29.99,0,1,Surburban,0,Web,Womens E-Mail,1,0,0.123
61908,9,3) $200 - $350,281.87,0,1,Urban,1,Multichannel,No E-Mail,5,0,0.0307
61909,8,3) $200 - $350,301.42,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.0085
61910,1,4) $350 - $500,404.72,1,0,Urban,0,Web,Womens E-Mail,4,0,0.3714
61911,8,1) $0 - $100,29.99,0,1,Urban,0,Web,No E-Mail,5,0,0.0132
61912,1,1) $0 - $100,42.07,0,1,Urban,0,Phone,Womens E-Mail,1,0,0.2652
61913,11,1) $0 - $100,29.99,1,0,Urban,1,Phone,Mens E-Mail,2,0,0.0077
61914,10,3) $200 - $350,234.85,0,1,Urban,0,Web,No E-Mail,5,0,0.0258
61915,2,3) $200 - $350,270.77,0,1,Surburban,0,Web,No E-Mail,5,0,0.2532
61916,4,2) $100 - $200,123.87,1,0,Surburban,0,Phone,No E-Mail,6,0,0.0037
61917,1,1) $0 - $100,29.99,1,0,Urban,0,Web,Womens E-Mail,4,0,0.0683
61918,12,1) $0 - $100,36.17,0,1,Surburban,1,Web,No E-Mail,5,0,0.0039
61919,9,2) $100 - $200,139.73,1,0,Surburban,0,Web,No E-Mail,6,0,0.0013
61920,11,1) $0 - $100,67.44,1,0,Surburban,1,Phone,No E-Mail,6,0,0.0002
61921,5,3) $200 - $350,235.42,1,0,Surburban,0,Phone,No E-Mail,6,0,0.0065
61922,5,"7) $1,000 +",1134.23,1,0,Urban,1,Phone,Mens E-Mail,2,1,0.9999
61923,1,4) $350 - $500,498.79,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.2933
61924,2,5) $500 - $750,699,1,1,Surburban,1,Web,Womens E-Mail,5,1,0.6072
61925,4,3) $200 - $350,338.81,1,1,Urban,0,Web,Womens E-Mail,5,0,0.2435
61926,10,4) $350 - $500,361.42,0,1,Urban,1,Web,Mens E-Mail,3,0,0.2198
61927,11,1) $0 - $100,29.99,0,1,Rural,1,Web,No E-Mail,5,0,0.0092
61928,1,3) $200 - $350,342.13,1,0,Rural,1,Phone,Mens E-Mail,2,1,0.6618
61929,2,4) $350 - $500,421.36,1,1,Urban,1,Web,Womens E-Mail,5,1,0.6438
61930,2,4) $350 - $500,484.14,0,1,Urban,0,Multichannel,Womens E-Mail,1,1,0.8843
61931,10,3) $200 - $350,263.98,0,1,Urban,0,Multichannel,No E-Mail,5,0,0.0447
61932,10,1) $0 - $100,29.99,0,1,Surburban,0,Web,Womens E-Mail,1,0,0.0388
61933,11,1) $0 - $100,29.99,1,0,Surburban,1,Web,Mens E-Mail,2,0,0.0126
61934,5,4) $350 - $500,412.76,0,1,Urban,0,Phone,No E-Mail,5,0,0.169
61935,3,3) $200 - $350,262,1,1,Urban,0,Phone,Mens E-Mail,5,0,0.3906
61936,1,2) $100 - $200,195.12,1,0,Surburban,0,Phone,No E-Mail,6,0,0.0117
61937,1,1) $0 - $100,92.66,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.3398
61938,4,1) $0 - $100,92.12,0,1,Surburban,1,Phone,Mens E-Mail,3,0,0.0982
61939,3,3) $200 - $350,203.34,1,0,Urban,0,Multichannel,Mens E-Mail,2,1,0.6589
61940,8,1) $0 - $100,82.45,0,1,Surburban,0,Web,Womens E-Mail,1,0,0.0447
61941,6,1) $0 - $100,29.99,0,1,Urban,1,Phone,Womens E-Mail,1,0,0.0528
61942,4,4) $350 - $500,385.87,1,0,Surburban,0,Phone,Mens E-Mail,2,1,0.5152
61943,5,2) $100 - $200,149.92,0,1,Urban,0,Web,No E-Mail,5,0,0.038
61944,1,5) $500 - $750,688.27,1,1,Surburban,1,Multichannel,Womens E-Mail,5,1,0.7578
61945,5,1) $0 - $100,72.91,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.0108
61946,10,3) $200 - $350,317.22,1,0,Surburban,0,Multichannel,No E-Mail,6,0,0.0055
61947,3,1) $0 - $100,29.99,0,1,Urban,1,Web,Mens E-Mail,3,0,0.2845
61948,2,1) $0 - $100,29.99,1,0,Surburban,1,Phone,Mens E-Mail,2,0,0.1859
61949,9,1) $0 - $100,37.99,1,0,Surburban,0,Phone,No E-Mail,6,0,0.0008
61950,8,5) $500 - $750,743.48,1,0,Surburban,1,Multichannel,Mens E-Mail,2,0,0.3158
61951,8,3) $200 - $350,262.97,1,1,Urban,0,Web,No E-Mail,11,1,0.507
61952,4,1) $0 - $100,29.99,0,1,Urban,0,Phone,No E-Mail,5,0,0.0327
61953,6,1) $0 - $100,94.59,1,0,Urban,1,Web,Womens E-Mail,4,0,0.0112
61954,10,1) $0 - $100,86.47,1,0,Urban,1,Web,Mens E-Mail,2,0,0.0289
61955,5,2) $100 - $200,106.07,1,0,Urban,1,Web,Womens E-Mail,4,0,0.0109
61956,12,1) $0 - $100,67.64,1,0,Surburban,1,Web,No E-Mail,6,0,0.0004
61957,1,3) $200 - $350,329.58,1,0,Rural,0,Web,No E-Mail,6,0,0.1213
61958,4,1) $0 - $100,52.23,1,0,Rural,1,Web,Mens E-Mail,2,0,0.2922
61959,8,1) $0 - $100,30.73,0,1,Surburban,1,Phone,No E-Mail,5,0,0.0054
61960,11,2) $100 - $200,168.78,1,0,Urban,0,Web,No E-Mail,6,0,0.0005
61961,11,3) $200 - $350,280.65,1,1,Surburban,1,Multichannel,No E-Mail,11,0,0.3047
61962,6,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.1081
61963,9,3) $200 - $350,241.3,1,1,Surburban,1,Web,Mens E-Mail,5,0,0.0602
61964,2,2) $100 - $200,146.76,0,1,Surburban,0,Web,Womens E-Mail,1,0,0.3264
61965,7,3) $200 - $350,267.68,1,0,Rural,0,Phone,Mens E-Mail,2,0,0.2986
61966,12,4) $350 - $500,350.09,1,1,Urban,0,Web,No E-Mail,11,1,0.5986
61967,1,2) $100 - $200,113.89,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.3307
61968,4,1) $0 - $100,93.76,0,1,Surburban,1,Web,No E-Mail,5,0,0.0352
61969,9,3) $200 - $350,327.52,1,0,Rural,0,Multichannel,No E-Mail,6,0,0.0163
61970,6,5) $500 - $750,533.04,1,0,Urban,1,Web,No E-Mail,6,0,0.015
61971,11,2) $100 - $200,140.52,1,0,Urban,1,Phone,No E-Mail,6,0,0.0002
61972,12,3) $200 - $350,307.52,1,0,Urban,0,Multichannel,Womens E-Mail,4,0,0.0106
61973,5,1) $0 - $100,59.69,1,0,Urban,0,Web,No E-Mail,6,0,0.0046
61974,4,2) $100 - $200,100.49,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.1374
61975,2,5) $500 - $750,509.12,0,1,Urban,1,Multichannel,Mens E-Mail,3,1,0.7959
61976,8,1) $0 - $100,31.5,0,1,Surburban,0,Phone,Womens E-Mail,1,0,0.0279
61977,1,3) $200 - $350,301.31,1,1,Urban,0,Phone,Womens E-Mail,5,0,0.3719
61978,1,"7) $1,000 +",1597.44,1,1,Urban,1,Phone,Womens E-Mail,5,1,1
61979,10,1) $0 - $100,52.14,0,1,Rural,0,Phone,No E-Mail,5,0,0.0202
61980,7,2) $100 - $200,161.18,1,0,Urban,1,Phone,No E-Mail,6,0,0.0011
61981,1,4) $350 - $500,367,0,1,Urban,1,Web,Mens E-Mail,3,1,0.8069
61982,6,1) $0 - $100,52.75,1,0,Rural,1,Phone,No E-Mail,6,0,0.0053
61983,10,2) $100 - $200,167.4,0,1,Surburban,0,Web,Mens E-Mail,3,0,0.0525
61984,1,3) $200 - $350,263.86,1,0,Urban,1,Web,Mens E-Mail,2,1,0.5056
61985,2,2) $100 - $200,152.04,1,0,Surburban,0,Web,No E-Mail,6,0,0.0156
61986,9,3) $200 - $350,234,1,0,Urban,1,Phone,Mens E-Mail,2,0,0.041
61987,12,1) $0 - $100,33.75,0,1,Rural,0,Web,Womens E-Mail,1,0,0.0565
61988,11,4) $350 - $500,353.82,1,1,Urban,1,Phone,Mens E-Mail,5,0,0.0508
61989,2,3) $200 - $350,257.37,1,0,Urban,1,Multichannel,Womens E-Mail,4,0,0.1399
61990,1,1) $0 - $100,98.49,1,0,Urban,0,Phone,Womens E-Mail,4,0,0.0433
61991,4,3) $200 - $350,313.2,1,0,Surburban,1,Phone,No E-Mail,6,0,0.0061
61992,10,5) $500 - $750,556.36,0,1,Urban,1,Multichannel,Womens E-Mail,1,0,0.1945
61993,4,1) $0 - $100,29.99,0,1,Surburban,1,Web,Mens E-Mail,3,0,0.15
61994,10,5) $500 - $750,652.19,1,0,Surburban,1,Multichannel,Womens E-Mail,4,0,0.0349
61995,10,3) $200 - $350,222.26,1,1,Rural,1,Phone,No E-Mail,11,1,0.5041
61996,11,1) $0 - $100,38.94,1,0,Surburban,1,Phone,Mens E-Mail,2,0,0.0078
61997,7,3) $200 - $350,200.11,0,1,Urban,0,Web,Womens E-Mail,1,0,0.1667
61998,3,"7) $1,000 +",1187.06,1,0,Surburban,1,Web,Womens E-Mail,4,1,0.9999
61999,6,3) $200 - $350,294.17,1,0,Surburban,1,Web,Mens E-Mail,2,0,0.1999
62000,1,1) $0 - $100,29.99,0,1,Surburban,1,Web,Mens E-Mail,3,0,0.3532
62001,9,4) $350 - $500,474.28,1,1,Surburban,0,Multichannel,Womens E-Mail,5,0,0.3006
62002,1,2) $100 - $200,124.49,1,0,Urban,1,Web,No E-Mail,6,0,0.012
62003,12,1) $0 - $100,40.85,1,0,Urban,0,Phone,Mens E-Mail,2,0,0.0142
62004,1,1) $0 - $100,36.85,1,0,Urban,1,Web,Mens E-Mail,2,0,0.3043
62005,7,3) $200 - $350,317.42,1,0,Urban,0,Multichannel,Mens E-Mail,2,0,0.2999
62006,8,4) $350 - $500,386.27,0,1,Surburban,0,Phone,Mens E-Mail,3,0,0.2415
62007,4,2) $100 - $200,144.05,1,0,Surburban,0,Web,Mens E-Mail,2,0,0.1752
62008,9,3) $200 - $350,240.57,0,1,Rural,1,Web,Womens E-Mail,1,0,0.152
62009,7,3) $200 - $350,204.95,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.0153
62010,9,3) $200 - $350,273.68,1,0,Rural,0,Web,No E-Mail,6,0,0.0091
62011,12,2) $100 - $200,162.31,0,1,Urban,0,Phone,Mens E-Mail,3,0,0.017
62012,10,3) $200 - $350,316.53,1,0,Urban,0,Phone,No E-Mail,6,0,0.0019
62013,8,1) $0 - $100,52.58,1,0,Rural,1,Web,Mens E-Mail,2,0,0.0911
62014,4,1) $0 - $100,63.7,1,0,Rural,0,Phone,Womens E-Mail,4,0,0.0408
62015,2,3) $200 - $350,204.01,1,0,Surburban,0,Web,Womens E-Mail,4,0,0.1231
62016,10,2) $100 - $200,135.49,1,0,Urban,1,Web,No E-Mail,6,0,0.0008
62017,12,1) $0 - $100,29.99,1,0,Urban,0,Web,Mens E-Mail,2,0,0.0228
62018,1,1) $0 - $100,71.69,0,1,Urban,0,Web,Womens E-Mail,1,0,0.3702
62019,10,1) $0 - $100,53.63,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.0031
62020,6,2) $100 - $200,171.95,0,1,Urban,1,Phone,No E-Mail,5,0,0.0155
62021,9,2) $100 - $200,105.07,1,0,Surburban,1,Phone,No E-Mail,6,0,0.0005
62022,9,1) $0 - $100,29.99,1,0,Urban,1,Phone,Womens E-Mail,4,0,0.002
62023,7,5) $500 - $750,742.24,1,1,Urban,1,Multichannel,Mens E-Mail,5,0,0.4424
62024,5,2) $100 - $200,100.68,1,0,Surburban,1,Phone,Womens E-Mail,4,0,0.0068
62025,1,2) $100 - $200,188.02,1,0,Surburban,0,Phone,Womens E-Mail,4,0,0.043
62026,6,4) $350 - $500,491.09,0,1,Urban,0,Phone,Mens E-Mail,3,1,0.5189
62027,1,2) $100 - $200,143.37,1,0,Urban,1,Web,No E-Mail,6,0,0.012
62028,12,1) $0 - $100,29.99,1,0,Surburban,1,Web,Womens E-Mail,4,0,0.0017
62029,3,2) $100 - $200,124.18,0,1,Urban,0,Phone,Mens E-Mail,3,0,0.2651
62030,7,5) $500 - $750,520.61,0,1,Surburban,1,Web,Womens E-Mail,1,0,0.2287
62031,5,2) $100 - $200,192.89,1,0,Surburban,0,Web,Mens E-Mail,2,0,0.1381
62032,7,3) $200 - $350,305.29,1,0,Urban,1,Multichannel,Womens E-Mail,4,0,0.0295
62033,10,"6) $750 - $1,000",948.43,0,1,Surburban,1,Web,Mens E-Mail,3,1,0.9734
62034,1,2) $100 - $200,143.38,0,1,Urban,1,Phone,Womens E-Mail,1,0,0.1864
62035,5,2) $100 - $200,176.59,0,1,Surburban,0,Phone,Womens E-Mail,1,0,0.0791
62036,4,3) $200 - $350,260.84,1,1,Rural,0,Phone,Mens E-Mail,5,0,0.4506
62037,2,4) $350 - $500,398.1,1,1,Urban,1,Phone,Mens E-Mail,5,1,0.6206
62038,4,4) $350 - $500,471.77,0,1,Urban,0,Multichannel,No E-Mail,5,0,0.4555
